iter	Precision_SumError	Precision_SumWeight	Recall_SumError	Recall_SumWeight	F1_TP	F1_TP+FP	F1_TP+FN
331	239	267	239	340	239	267	340
332	239	267	239	340	239	267	340
333	239	267	239	340	239	267	340
334	239	267	239	340	239	267	340
335	239	267	239	340	239	267	340
336	239	267	239	340	239	267	340
337	239	267	239	340	239	267	340
338	239	267	239	340	239	267	340
339	239	267	239	340	239	267	340
340	239	267	239	340	239	267	340
341	239	269	239	340	239	269	340
342	239	269	239	340	239	269	340
343	239	267	239	340	239	267	340
344	239	267	239	340	239	267	340
345	239	267	239	340	239	267	340
346	239	267	239	340	239	267	340
347	239	267	239	340	239	267	340
348	239	267	239	340	239	267	340
349	239	267	239	340	239	267	340
350	239	267	239	340	239	267	340
351	239	267	239	340	239	267	340
352	239	267	239	340	239	267	340
353	239	267	239	340	239	267	340
354	239	267	239	340	239	267	340
355	239	267	239	340	239	267	340
356	239	267	239	340	239	267	340
357	239	267	239	340	239	267	340
358	239	267	239	340	239	267	340
359	239	267	239	340	239	267	340
360	240	268	240	340	240	268	340
361	240	268	240	340	240	268	340
362	241	269	241	340	241	269	340
363	241	269	241	340	241	269	340
364	241	269	241	340	241	269	340
365	241	269	241	340	241	269	340
366	241	269	241	340	241	269	340
367	241	269	241	340	241	269	340
368	241	269	241	340	241	269	340
369	241	269	241	340	241	269	340
370	241	269	241	340	241	269	340
371	241	269	241	340	241	269	340
372	241	269	241	340	241	269	340
373	241	269	241	340	241	269	340
374	241	269	241	340	241	269	340
375	242	270	242	340	242	270	340
376	242	270	242	340	242	270	340
377	242	270	242	340	242	270	340
378	242	270	242	340	242	270	340
379	242	270	242	340	242	270	340
380	242	270	242	340	242	270	340
381	242	270	242	340	242	270	340
382	242	270	242	340	242	270	340
383	243	271	243	340	243	271	340
384	243	271	243	340	243	271	340
385	244	272	244	340	244	272	340
386	244	272	244	340	244	272	340
387	244	272	244	340	244	272	340
388	243	271	243	340	243	271	340
389	244	272	244	340	244	272	340
390	244	272	244	340	244	272	340
391	244	272	244	340	244	272	340
392	244	272	244	340	244	272	340
393	244	272	244	340	244	272	340
394	244	272	244	340	244	272	340
395	244	272	244	340	244	272	340
396	245	273	245	340	245	273	340
397	245	273	245	340	245	273	340
398	245	273	245	340	245	273	340
399	245	273	245	340	245	273	340
400	245	273	245	340	245	273	340
401	245	273	245	340	245	273	340
402	245	273	245	340	245	273	340
403	245	273	245	340	245	273	340
404	245	273	245	340	245	273	340
405	246	274	246	340	246	274	340
406	245	273	245	340	245	273	340
407	245	273	245	340	245	273	340
408	245	273	245	340	245	273	340
409	245	273	245	340	245	273	340
410	245	273	245	340	245	273	340
411	245	273	245	340	245	273	340
412	247	274	247	340	247	274	340
413	247	275	247	340	247	275	340
414	248	276	248	340	248	276	340
415	247	274	247	340	247	274	340
416	248	275	248	340	248	275	340
417	248	275	248	340	248	275	340
418	248	275	248	340	248	275	340
419	248	275	248	340	248	275	340
420	248	276	248	340	248	276	340
421	248	276	248	340	248	276	340
422	248	276	248	340	248	276	340
423	251	279	251	340	251	279	340
424	251	279	251	340	251	279	340
425	251	279	251	340	251	279	340
426	251	279	251	340	251	279	340
427	252	280	252	340	252	280	340
428	252	280	252	340	252	280	340
429	252	280	252	340	252	280	340
430	252	280	252	340	252	280	340
431	252	280	252	340	252	280	340
432	252	280	252	340	252	280	340
433	252	280	252	340	252	280	340
434	252	280	252	340	252	280	340
435	252	279	252	340	252	279	340
436	252	279	252	340	252	279	340
437	252	279	252	340	252	279	340
438	252	279	252	340	252	279	340
439	252	279	252	340	252	279	340
440	252	279	252	340	252	279	340
441	252	279	252	340	252	279	340
442	252	279	252	340	252	279	340
443	253	280	253	340	253	280	340
444	253	280	253	340	253	280	340
445	253	280	253	340	253	280	340
446	253	280	253	340	253	280	340
447	253	280	253	340	253	280	340
448	253	280	253	340	253	280	340
449	253	280	253	340	253	280	340
450	253	280	253	340	253	280	340
451	253	280	253	340	253	280	340
452	253	280	253	340	253	280	340
453	253	280	253	340	253	280	340
454	253	280	253	340	253	280	340
455	253	280	253	340	253	280	340
456	253	280	253	340	253	280	340
457	253	280	253	340	253	280	340
458	253	280	253	340	253	280	340
459	253	280	253	340	253	280	340
460	254	281	254	340	254	281	340
461	254	281	254	340	254	281	340
462	254	281	254	340	254	281	340
463	254	281	254	340	254	281	340
464	254	281	254	340	254	281	340
465	254	281	254	340	254	281	340
466	254	281	254	340	254	281	340
467	254	281	254	340	254	281	340
468	254	281	254	340	254	281	340
469	254	282	254	340	254	282	340
470	254	282	254	340	254	282	340
471	254	282	254	340	254	282	340
472	254	282	254	340	254	282	340
473	256	284	256	340	256	284	340
474	256	284	256	340	256	284	340
475	256	284	256	340	256	284	340
476	256	284	256	340	256	284	340
477	256	284	256	340	256	284	340
478	256	284	256	340	256	284	340
479	259	288	259	340	259	288	340
480	259	288	259	340	259	288	340
481	259	288	259	340	259	288	340
482	259	288	259	340	259	288	340
483	259	288	259	340	259	288	340
484	259	288	259	340	259	288	340
485	259	288	259	340	259	288	340
486	259	288	259	340	259	288	340
487	259	288	259	340	259	288	340
488	259	288	259	340	259	288	340
489	259	288	259	340	259	288	340
490	259	288	259	340	259	288	340
491	259	288	259	340	259	288	340
492	259	288	259	340	259	288	340
493	259	288	259	340	259	288	340
494	259	288	259	340	259	288	340
495	259	288	259	340	259	288	340
496	259	288	259	340	259	288	340
497	259	288	259	340	259	288	340
498	259	288	259	340	259	288	340
499	259	288	259	340	259	288	340
500	259	288	259	340	259	288	340
501	259	288	259	340	259	288	340
502	259	288	259	340	259	288	340
503	259	288	259	340	259	288	340
504	259	288	259	340	259	288	340
505	259	288	259	340	259	288	340
506	259	288	259	340	259	288	340
507	259	288	259	340	259	288	340
508	259	288	259	340	259	288	340
509	259	288	259	340	259	288	340
510	259	288	259	340	259	288	340
511	259	288	259	340	259	288	340
512	259	288	259	340	259	288	340
513	259	288	259	340	259	288	340
514	259	288	259	340	259	288	340
515	259	288	259	340	259	288	340
516	259	288	259	340	259	288	340
517	259	288	259	340	259	288	340
518	259	288	259	340	259	288	340
519	259	288	259	340	259	288	340
520	259	288	259	340	259	288	340
521	259	288	259	340	259	288	340
522	259	288	259	340	259	288	340
523	259	288	259	340	259	288	340
524	259	288	259	340	259	288	340
525	259	288	259	340	259	288	340
526	259	288	259	340	259	288	340
527	259	288	259	340	259	288	340
528	259	288	259	340	259	288	340
529	259	288	259	340	259	288	340
530	261	292	261	340	261	292	340
531	261	292	261	340	261	292	340
532	261	292	261	340	261	292	340
533	261	292	261	340	261	292	340
534	262	293	262	340	262	293	340
535	262	293	262	340	262	293	340
536	262	293	262	340	262	293	340
537	262	293	262	340	262	293	340
538	262	293	262	340	262	293	340
539	262	293	262	340	262	293	340
540	261	290	261	340	261	290	340
541	261	290	261	340	261	290	340
542	261	290	261	340	261	290	340
543	261	290	261	340	261	290	340
544	263	293	263	340	263	293	340
545	263	293	263	340	263	293	340
546	261	290	261	340	261	290	340
547	261	290	261	340	261	290	340
