iter	Passed	Remaining
307	72682	281292
308	73066	281626
309	73265	281246
310	73485	280945
311	73734	280757
312	73992	280603
313	74298	280629
314	74507	280289
315	74807	280291
316	75021	279970
317	75337	280026
318	75556	279723
319	75807	279540
320	76026	279236
321	76239	278913
322	76525	278857
323	76849	278934
324	77055	278586
325	77271	278273
326	77653	278555
327	77890	278316
328	78113	278028
329	78337	277741
330	78734	278068
331	78947	277742
332	79147	277371
333	79368	277077
334	79608	276847
335	79938	276928
336	80162	276642
337	80383	276347
338	80651	276213
339	81032	276464
340	81234	276101
341	81445	275771
342	81665	275472
343	82028	275654
344	82241	275330
345	82445	274975
346	82751	274962
347	83239	275552
348	83417	275108
349	83723	275091
350	83942	274784
351	84176	274530
352	84552	274736
353	84802	274529
354	85003	274167
355	85213	273830
356	85552	273912
357	85814	273744
358	86031	273431
359	86237	273084
360	86603	273244
361	86808	272894
362	87025	272584
363	87228	272229
364	87437	271895
365	87896	272333
366	88112	272019
367	88318	271675
368	88542	271385
369	88909	271534
370	89109	271170
371	89324	270856
372	89542	270548
373	89822	270427
374	90130	270390
375	90340	270061
376	90544	269711
377	90795	269505
378	91140	269573
379	91330	269184
380	91572	268948
381	91809	268698
382	92022	268378
383	92495	268815
384	92804	268771
385	93048	268538
386	93374	268543
387	93641	268373
388	93856	268057
389	94077	267757
390	94299	267464
391	94665	267575
392	94886	267276
393	95124	267024
394	95352	266745
395	95775	267009
396	96010	266750
397	96233	266455
